nome_mun;CD_GEOCODI;CD_GEOCODI6;cod_rgi;nome_rgi;cod_rgint;nome_rgint
Alta Floresta D'Oeste;1100015;110001;110005;Cacoal;1102;Ji-Paraná
Ariquemes;1100023;110002;110002;Ariquemes;1101;Porto Velho
Cabixi;1100031;110003;110006;Vilhena;1102;Ji-Paraná
Cacoal;1100049;110004;110005;Cacoal;1102;Ji-Paraná
Cerejeiras;1100056;110005;110006;Vilhena;1102;Ji-Paraná
Colorado do Oeste;1100064;110006;110006;Vilhena;1102;Ji-Paraná
Corumbiara;1100072;110007;110006;Vilhena;1102;Ji-Paraná
Costa Marques;1100080;110008;110004;Ji-Paraná;1102;Ji-Paraná
Espigão D'Oeste;1100098;110009;110005;Cacoal;1102;Ji-Paraná
Guajará-Mirim;1100106;110010;110001;Porto Velho;1101;Porto Velho
Jaru;1100114;110011;110003;Jaru;1101;Porto Velho
Ji-Paraná;1100122;110012;110004;Ji-Paraná;1102;Ji-Paraná
Machadinho D'Oeste;1100130;110013;110003;Jaru;1101;Porto Velho
Nova Brasilândia D'Oeste;1100148;110014;110005;Cacoal;1102;Ji-Paraná
Ouro Preto do Oeste;1100155;110015;110004;Ji-Paraná;1102;Ji-Paraná
Pimenta Bueno;1100189;110018;110005;Cacoal;1102;Ji-Paraná
Porto Velho;1100205;110020;110001;Porto Velho;1101;Porto Velho
Presidente Médici;1100254;110025;110004;Ji-Paraná;1102;Ji-Paraná
Rio Crespo;1100262;110026;110002;Ariquemes;1101;Porto Velho
Rolim de Moura;1100288;110028;110005;Cacoal;1102;Ji-Paraná
Santa Luzia D'Oeste;1100296;110029;110005;Cacoal;1102;Ji-Paraná
Vilhena;1100304;110030;110006;Vilhena;1102;Ji-Paraná
São Miguel do Guaporé;1100320;110032;110004;Ji-Paraná;1102;Ji-Paraná
Nova Mamoré;1100338;110033;110001;Porto Velho;1101;Porto Velho
Alvorada D'Oeste;1100346;110034;110004;Ji-Paraná;1102;Ji-Paraná
Alto Alegre dos Parecis;1100379;110037;110005;Cacoal;1102;Ji-Paraná
Alto Paraíso;1100403;110040;110002;Ariquemes;1101;Porto Velho
Buritis;1100452;110045;110002;Ariquemes;1101;Porto Velho
Novo Horizonte do Oeste;1100502;110050;110005;Cacoal;1102;Ji-Paraná
Cacaulândia;1100601;110060;110002;Ariquemes;1101;Porto Velho
Campo Novo de Rondônia;1100700;110070;110002;Ariquemes;1101;Porto Velho
Candeias do Jamari;1100809;110080;110001;Porto Velho;1101;Porto Velho
Castanheiras;1100908;110090;110005;Cacoal;1102;Ji-Paraná
Chupinguaia;1100924;110092;110006;Vilhena;1102;Ji-Paraná
Cujubim;1100940;110094;110002;Ariquemes;1101;Porto Velho
Governador Jorge Teixeira;1101005;110100;110003;Jaru;1101;Porto Velho
Itapuã do Oeste;1101104;110110;110001;Porto Velho;1101;Porto Velho
Ministro Andreazza;1101203;110120;110005;Cacoal;1102;Ji-Paraná
Mirante da Serra;1101302;110130;110004;Ji-Paraná;1102;Ji-Paraná
Monte Negro;1101401;110140;110002;Ariquemes;1101;Porto Velho
Nova União;1101435;110143;110004;Ji-Paraná;1102;Ji-Paraná
Parecis;1101450;110145;110005;Cacoal;1102;Ji-Paraná
Pimenteiras do Oeste;1101468;110146;110006;Vilhena;1102;Ji-Paraná
Primavera de Rondônia;1101476;110147;110005;Cacoal;1102;Ji-Paraná
São Felipe D'Oeste;1101484;110148;110005;Cacoal;1102;Ji-Paraná
São Francisco do Guaporé;1101492;110149;110004;Ji-Paraná;1102;Ji-Paraná
Seringueiras;1101500;110150;110004;Ji-Paraná;1102;Ji-Paraná
Teixeirópolis;1101559;110155;110004;Ji-Paraná;1102;Ji-Paraná
Theobroma;1101609;110160;110003;Jaru;1101;Porto Velho
Urupá;1101708;110170;110004;Ji-Paraná;1102;Ji-Paraná
Vale do Anari;1101757;110175;110003;Jaru;1101;Porto Velho
Vale do Paraíso;1101807;110180;110004;Ji-Paraná;1102;Ji-Paraná
Acrelândia;1200013;120001;120001;Rio Branco;1201;Rio Branco
Assis Brasil;1200054;120005;120002;Brasiléia;1201;Rio Branco
Brasiléia;1200104;120010;120002;Brasiléia;1201;Rio Branco
Bujari;1200138;120013;120001;Rio Branco;1201;Rio Branco
Capixaba;1200179;120017;120001;Rio Branco;1201;Rio Branco
Cruzeiro do Sul;1200203;120020;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul
Epitaciolândia;1200252;120025;120002;Brasiléia;1201;Rio Branco
Feijó;1200302;120030;120005;Tarauacá;1202;Cruzeiro do Sul
Jordão;1200328;120032;120005;Tarauacá;1202;Cruzeiro do Sul
Mâncio Lima;1200336;120033;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul
Manoel Urbano;1200344;120034;120003;Sena Madureira;1201;Rio Branco
Marechal Thaumaturgo;1200351;120035;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul
Plácido de Castro;1200385;120038;120001;Rio Branco;1201;Rio Branco
Porto Walter;1200393;120039;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul
Rio Branco;1200401;120040;120001;Rio Branco;1201;Rio Branco
Rodrigues Alves;1200427;120042;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul
Santa Rosa do Purus;1200435;120043;120003;Sena Madureira;1201;Rio Branco
Senador Guiomard;1200450;120045;120001;Rio Branco;1201;Rio Branco
Sena Madureira;1200500;120050;120003;Sena Madureira;1201;Rio Branco
Tarauacá;1200609;120060;120005;Tarauacá;1202;Cruzeiro do Sul
Xapuri;1200708;120070;120002;Brasiléia;1201;Rio Branco
Porto Acre;1200807;120080;120001;Rio Branco;1201;Rio Branco
Alvarães;1300029;130002;130005;Tefé;1302;Tefé
Amaturá;1300060;130006;130006;Tabatinga;1302;Tefé
Anamã;1300086;130008;130004;Manacapuru;1301;Manaus
Anori;1300102;130010;130003;Coari;1301;Manaus
Apuí;1300144;130014;130009;Manicoré;1303;Lábrea
Atalaia do Norte;1300201;130020;130006;Tabatinga;1302;Tefé
Autazes;1300300;130030;130001;Manaus;1301;Manaus
Barcelos;1300409;130040;130002;São Gabriel da Cachoeira;1301;Manaus
Barreirinha;1300508;130050;130010;Parintins;1304;Parintins
Benjamin Constant;1300607;130060;130006;Tabatinga;1302;Tefé
Beruri;1300631;130063;130003;Coari;1301;Manaus
Boa Vista do Ramos;1300680;130068;130010;Parintins;1304;Parintins
Boca do Acre;1300706;130070;130008;Lábrea;1303;Lábrea
Borba;1300805;130080;130001;Manaus;1301;Manaus
Caapiranga;1300839;130083;130004;Manacapuru;1301;Manaus
Canutama;1300904;130090;130008;Lábrea;1303;Lábrea
Carauari;1301001;130100;130005;Tefé;1302;Tefé
Careiro;1301100;130110;130001;Manaus;1301;Manaus
Careiro da Várzea;1301159;130115;130001;Manaus;1301;Manaus
Coari;1301209;130120;130003;Coari;1301;Manaus
Codajás;1301308;130130;130003;Coari;1301;Manaus
Eirunepé;1301407;130140;130007;Eirunepé;1302;Tefé
Envira;1301506;130150;130007;Eirunepé;1302;Tefé
Fonte Boa;1301605;130160;130005;Tefé;1302;Tefé
Guajará;1301654;130165;130007;Eirunepé;1302;Tefé
Humaitá;1301704;130170;130009;Manicoré;1303;Lábrea
Ipixuna;1301803;130180;130007;Eirunepé;1302;Tefé
Iranduba;1301852;130185;130001;Manaus;1301;Manaus
Itacoatiara;1301902;130190;130011;Itacoatiara;1304;Parintins
Itamarati;1301951;130195;130007;Eirunepé;1302;Tefé
Itapiranga;1302009;130200;130011;Itacoatiara;1304;Parintins
Japurá;1302108;130210;130005;Tefé;1302;Tefé
Juruá;1302207;130220;130005;Tefé;1302;Tefé
Jutaí;1302306;130230;130005;Tefé;1302;Tefé
Lábrea;1302405;130240;130008;Lábrea;1303;Lábrea
Manacapuru;1302504;130250;130004;Manacapuru;1301;Manaus
Manaquiri;1302553;130255;130001;Manaus;1301;Manaus
Manaus;1302603;130260;130001;Manaus;1301;Manaus
Manicoré;1302702;130270;130009;Manicoré;1303;Lábrea
Maraã;1302801;130280;130005;Tefé;1302;Tefé
Maués;1302900;130290;130010;Parintins;1304;Parintins
Nhamundá;1303007;130300;130010;Parintins;1304;Parintins
Nova Olinda do Norte;1303106;130310;130001;Manaus;1301;Manaus
Novo Airão;1303205;130320;130004;Manacapuru;1301;Manaus
Novo Aripuanã;1303304;130330;130009;Manicoré;1303;Lábrea
Parintins;1303403;130340;130010;Parintins;1304;Parintins
Pauini;1303502;130350;130008;Lábrea;1303;Lábrea
Presidente Figueiredo;1303536;130353;130001;Manaus;1301;Manaus
Rio Preto da Eva;1303569;130356;130001;Manaus;1301;Manaus
Santa Isabel do Rio Negro;1303601;130360;130002;São Gabriel da Cachoeira;1301;Manaus
Santo Antônio do Içá;1303700;130370;130006;Tabatinga;1302;Tefé
São Gabriel da Cachoeira;1303809;130380;130002;São Gabriel da Cachoeira;1301;Manaus
São Paulo de Olivença;1303908;130390;130006;Tabatinga;1302;Tefé
São Sebastião do Uatumã;1303957;130395;130011;Itacoatiara;1304;Parintins
Silves;1304005;130400;130011;Itacoatiara;1304;Parintins
Tabatinga;1304062;130406;130006;Tabatinga;1302;Tefé
Tapauá;1304104;130410;130008;Lábrea;1303;Lábrea
Tefé;1304203;130420;130005;Tefé;1302;Tefé
Tonantins;1304237;130423;130006;Tabatinga;1302;Tefé
Uarini;1304260;130426;130005;Tefé;1302;Tefé
Urucará;1304302;130430;130011;Itacoatiara;1304;Parintins
Urucurituba;1304401;130440;130011;Itacoatiara;1304;Parintins
Amajari;1400027;140002;140002;Pacaraima;1401;Boa Vista
